millis(),currentState,IMUAcc.acceleration.x,IMUAcc.acceleration.y,IMUAcc.acceleration.z,IMUGyro.gyro.x,IMUGyro.gyro.y,IMUGyro.gyro.z,IMUTher.temperature,BARO.readTemperature,BARO.readPressure,BARO.readAltitude
81966,2,8.2,0.58,5.93,0.13,0.-2,0.-15,2.43,6.20,93318.49,688.80
82000,2,8.57,1.14,6.2,0.7,0.2,0.-10,2.37,6.20,93319.57,688.99
82034,2,6.69,0.24,5.60,0.5,0.-8,0.-2,2.37,6.20,93321.75,688.3
82068,2,8.17,0.64,6.91,0.6,0.22,0.3,2.37,6.21,93324.98,688.80
82104,2,7.35,0.28,5.24,0.9,0.-11,0.2,2.43,6.20,93315.24,688.90
82138,2,7.84,0.16,5.49,0.6,0.6,0.2,2.43,6.20,93316.33,688.51
82172,2,8.29,0.63,6.97,0.6,0.28,0.-1,2.50,6.20,93323.90,688.22
82206,2,7.97,0.88,6.62,0.6,0.16,0.-8,2.43,6.20,93319.57,688.61
82240,2,7.67,0.72,5.94,0.3,0.20,0.-7,2.43,6.20,93318.49,688.32
82274,2,8.3,0.73,7.0,0.9,0.52,0.-3,2.43,6.20,93322.82,688.80
82308,2,6.62,0.-1,6.19,0.12,0.95,0.-5,2.37,6.20,93324.99,688.22
82342,2,5.58,0.34,6.7,0.6,1.12,0.-2,2.43,6.20,93328.25,688.70
82377,2,6.16,0.60,7.13,0.2,1.26,0.-4,2.43,6.20,93320.66,689.18
82411,2,7.47,0.80,8.20,0.0,1.6,0.-6,2.37,6.20,93318.49,688.41
82445,2,7.77,0.89,8.3,0.4,0.65,0.-9,2.50,6.19,93323.90,688.80
82479,2,6.15,1.10,9.27,0.10,0.61,0.-6,2.37,6.20,93326.7,688.61
82513,2,6.8,0.52,8.3,0.16,0.13,0.0,2.43,6.20,93329.32,688.80
82547,2,5.60,0.11,7.32,0.15,0.53,0.0,2.43,6.20,93328.25,688.80
82581,2,5.69,0.-20,7.60,0.13,0.75,0.-7,2.31,6.19,93320.66,688.41
82615,2,5.9,0.-21,7.79,0.11,0.84,0.-13,2.50,6.20,93327.16,688.41
82650,2,3.98,0.90,8.62,0.13,0.78,0.-8,2.43,6.20,93321.74,687.93
82684,2,5.46,1.0,9.15,0.15,0.93,0.-5,2.43,6.19,93320.66,688.80
82718,2,5.64,1.15,9.38,0.18,1.16,0.-11,2.37,6.20,93326.8,687.93
82752,2,4.13,1.10,9.87,0.19,1.0,0.-16,2.43,6.21,93320.66,688.41
82786,2,3.1,1.6,9.51,0.20,0.66,0.-15,2.37,6.20,93329.32,688.12
82820,2,3.88,0.47,9.45,0.19,0.24,0.-10,2.37,6.20,93317.41,689.38
82854,2,3.83,1.9,8.93,0.13,0.19,0.-7,2.37,6.20,93322.82,688.32
82888,2,3.90,1.44,9.31,0.3,0.1,0.-3,2.43,6.20,93320.65,688.61
82923,2,3.42,1.49,9.35,0.2,0.12,0.-3,2.37,6.19,93321.74,688.22
82957,2,3.19,0.99,9.99,0.8,0.10,0.1,2.43,6.19,93327.16,688.61
82991,2,3.96,0.72,9.55,0.14,0.0,0.0,2.37,6.19,93326.7,688.61
83025,2,3.10,0.45,9.13,0.15,0.-9,0.-3,2.37,6.19,93318.49,688.51
83059,2,3.51,0.98,8.99,0.11,0.27,0.-2,2.43,6.20,93323.90,688.70
83093,2,2.80,1.42,9.15,0.8,0.18,0.-4,2.50,6.19,93320.66,688.99
83128,2,3.98,1.22,9.53,0.-3,0.0,0.-1,2.43,6.20,93328.24,688.22
83162,2,3.81,1.43,10.60,0.-6,0.-2,0.-1,2.43,6.20,93327.16,688.32
83197,2,3.62,0.75,9.11,0.-3,0.-24,0.-2,2.43,6.20,93323.90,688.51
83231,2,2.57,0.65,8.77,0.-1,0.8,0.-2,2.43,6.20,93326.7,688.42
83265,2,2.94,1.17,9.36,0.0,0.13,0.0,2.37,6.19,93328.24,688.80
83299,2,3.80,1.12,9.25,0.-1,0.-7,0.-4,2.31,6.19,93317.39,688.80
83333,2,2.81,1.68,9.49,0.1,0.24,0.-6,2.43,6.19,93329.32,688.80
83367,2,3.27,1.15,9.99,0.5,0.4,0.-2,2.37,6.20,93320.66,688.22
83401,2,3.0,0.78,9.38,0.8,0.-11,0.0,2.37,6.19,93319.57,688.90
83435,2,3.52,0.50,10.23,0.13,0.-25,0.4,2.43,6.19,93320.65,688.61
83470,2,3.49,0.81,9.9,0.14,0.-25,0.0,2.31,6.19,93319.57,688.41
83504,2,2.51,0.89,9.33,0.8,0.0,0.-5,2.37,6.19,93320.66,688.32
83538,2,2.75,0.96,9.75,0.4,0.-10,0.-2,2.37,6.20,93328.25,688.41
83572,2,2.72,0.87,8.64,0.4,0.36,0.-1,2.43,6.20,93317.40,688.90
83606,2,1.97,1.0,8.77,0.5,0.95,0.1,2.43,6.20,93322.82,688.90
83640,2,2.71,1.0,9.79,0.2,0.62,0.1,2.37,6.20,93319.57,688.13
