millis(),currentState,IMUAcc.acceleration.x,IMUAcc.acceleration.y,IMUAcc.acceleration.z,IMUGyro.gyro.x,IMUGyro.gyro.y,IMUGyro.gyro.z,IMUTher.temperature,BARO.readTemperature,BARO.readPressure,BARO.readAltitude
1192853,21,8.90,0.-26,2.3,0.37,0.25,0.81,-1.-37,1.89,93479.79,674.8
1192889,21,10.33,0.4,7.95,0.75,0.20,0.94,-1.-43,1.89,93480.84,674.55
1192925,21,12.71,0.66,6.83,0.54,0.80,1.8,-1.-43,1.89,93478.69,674.8
1192964,21,6.31,-1.0,7.2,0.67,1.56,0.92,-1.-37,1.88,93480.89,674.84
1193000,21,12.46,-1.-66,10.8,0.20,-1.-8,0.61,-1.-37,1.90,93481.89,674.55
1193036,21,11.42,-4.-15,4.16,0.26,0.-60,0.7,-1.-37,1.89,93485.23,674.36
1193072,21,4.13,0.-20,5.14,0.83,0.12,0.-35,-1.-37,1.90,93480.84,674.26
1193108,21,9.28,3.20,2.94,0.26,-1.-50,0.-92,-1.-43,1.89,93488.38,674.45
1193144,21,7.32,0.22,0.90,0.-17,0.-34,-1.-22,-1.-43,1.89,93484.8,674.46
1193180,21,4.47,1.84,4.87,0.-7,0.32,0.-31,-1.-43,1.89,93474.40,673.79
1193218,21,12.65,1.15,3.25,-1.-8,0.-49,0.-29,-1.-37,1.89,93478.69,675.22
1193254,21,7.89,-1.-11,6.61,-1.-27,1.34,0.-52,-1.-50,1.89,93482.98,674.46
1193290,21,12.40,-2.-20,6.85,-1.-21,0.-92,0.75,-1.-43,1.89,93486.23,674.17
1193326,21,11.10,-5.-29,0.70,0.-65,0.89,0.-20,-1.-43,1.89,93476.54,674.36
1193362,21,4.9,1.16,7.96,0.31,1.14,0.-38,-1.-43,1.88,93481.93,674.46
1193398,21,6.97,-2.-54,5.87,0.-9,-1.-3,0.-4,-1.-31,1.88,93481.93,674.8
1193435,21,5.88,-4.-12,0.82,0.13,0.-90,0.-14,-1.-37,1.89,93482.98,675.22
1193474,21,5.82,-2.-1,3.62,0.76,0.-30,0.-15,-1.-31,1.89,93478.69,674.8
1193510,21,5.59,-2.-38,3.37,0.55,0.-15,0.-24,-1.-37,1.88,93472.25,673.88
1193546,21,7.78,-1.-33,3.39,0.65,0.-29,0.4,-1.-43,1.89,93484.8,674.27
1193582,21,12.33,-3.-12,5.13,0.86,0.5,0.-1,-1.-43,1.88,93480.89,674.27
1193618,21,10.28,-1.-42,7.92,0.96,1.0,0.0,-1.-43,1.89,93471.21,674.46
1193654,21,13.26,-4.-56,7.47,1.31,0.-68,0.48,-1.-43,1.89,93479.79,674.17
1193690,21,13.42,-2.-78,6.84,1.20,0.-14,0.19,-1.-43,1.89,93476.54,674.17
1193728,21,9.16,0.60,8.1,1.51,0.-39,0.80,-1.-43,1.88,93478.69,674.17
1193764,21,9.22,0.-54,6.11,0.85,0.-38,0.30,-1.-43,1.88,93486.23,674.94
1193800,21,6.48,1.90,5.55,0.6,0.-49,0.-28,-1.-37,1.89,93478.69,674.36
1193836,21,5.43,2.36,3.18,0.-46,-1.-1,0.0,-1.-43,1.89,93476.54,674.75
1193872,21,5.78,0.85,0.70,0.-87,0.0,0.-13,-1.-37,1.89,93484.8,674.17
1193908,21,4.66,3.10,3.15,0.-93,0.71,0.-32,-1.-43,1.88,93483.3,674.17
1193944,21,11.60,1.69,3.51,-1.-13,0.-75,0.-29,-1.-37,1.89,93479.74,674.36
1193982,21,11.69,2.7,0.93,-1.-6,1.71,-1.-9,-1.-43,1.89,93478.69,675.13
1194018,21,8.31,0.-92,11.94,0.-32,1.55,0.-74,-1.-37,1.88,93482.98,673.88
1194054,21,12.62,-4.-89,1.36,0.-13,0.-78,0.-46,-1.-37,1.89,93482.98,673.98
1194090,21,5.78,0.-62,6.18,0.33,1.82,0.-99,-1.-31,1.89,93485.13,674.85
1194126,21,4.46,-2.-1,9.44,0.23,0.-42,0.-36,-1.-43,1.88,93481.93,674.27
1194162,21,8.8,-3.-8,1.30,0.-10,-2.-2,0.3,-1.-43,1.89,93491.57,674.65
1194198,21,4.67,-2.-1,1.77,0.15,0.-17,0.-8,-1.-37,1.88,93481.93,674.65
1194236,21,4.0,-1.-6,2.85,0.35,0.-13,0.30,-1.-37,1.89,93485.13,674.17
1194272,21,8.33,-2.-51,4.0,0.56,0.11,0.55,-1.-37,1.89,93478.69,674.36
1194308,21,9.87,-2.-68,4.94,1.5,0.52,0.61,-1.-37,1.89,93482.98,674.75
1194344,21,9.92,0.21,8.76,1.31,0.74,0.82,-1.-37,1.89,93482.98,674.27
1194380,21,16.13,0.-26,7.25,0.90,0.-33,0.67,-1.-31,1.90,93488.38,673.98
1194416,21,9.77,-1.-22,6.80,0.76,1.29,0.34,-1.-31,1.89,93484.8,674.94
1194453,21,5.30,2.28,11.12,0.75,0.-56,0.51,-1.-37,1.89,93483.3,674.55
1194489,21,13.25,-2.-8,5.18,0.48,-1.-91,0.-2,-1.-37,1.88,93485.13,674.27
1194527,21,4.94,0.-13,4.16,0.52,1.37,0.-57,-1.-37,1.89,93481.93,674.55
1194563,21,1.25,4.67,7.30,0.12,0.37,0.-20,-1.-37,1.88,93476.54,674.46
1194599,21,10.65,0.39,0.33,-1.-23,-1.-30,0.-65,-1.-31,1.89,93485.13,674.74
1194635,21,6.16,2.5,7.30,-1.-14,1.28,-1.-10,-1.-37,1.89,93480.84,673.98
1194671,21,10.12,4.30,6.56,-1.-27,0.-51,-1.-1,-1.-37,1.88,93476.54,675.3
1194707,21,9.37,-6.-62,2.56,0.-93,0.27,0.-91,-1.-43,1.89,93477.64,675.3
1194743,21,7.42,2.35,9.74,0.0,0.76,0.-77,-1.-37,1.89,93481.89,674.74
1194781,21,9.92,2.43,4.83,0.-56,-1.-32,0.-43,-1.-37,1.88,93478.69,674.65
1194817,21,7.66,-8.-12,1.49,0.-6,-1.-12,0.15,-1.-37,1.89,93484.3,674.8
1194853,21,7.28,-1.-12,3.91,0.65,0.-32,0.54,-1.-31,1.89,93484.3,674.55
1194889,21,7.17,0.-4,3.6,0.15,0.-6,0.1,-1.-37,1.89,93484.3,674.55
1194925,21,4.97,-1.-43,5.2,0.30,0.36,0.6,-1.-37,1.89,93486.23,674.46
1194961,21,11.45,-3.-38,3.38,0.42,0.-38,0.59,-1.-31,1.89,93480.84,674.46
1194997,21,12.94,-3.-15,3.1,0.68,1.43,0.42,-1.-31,1.89,93486.17,674.45
