millis(),currentState,calculatedFlightTime,IMUAcc.acceleration.x,IMUAcc.acceleration.y,IMUAcc.acceleration.z,IMUGyro.gyro.x,IMUGyro.gyro.y,IMUGyro.gyro.z,IMUTher.temperature,BARO.readTemperature,BARO.readPressure,BARO.readAltitude,orientation.actual.roll,orientation.actual.pitch,orientation.actual.yaw
8222,2,8222,0.-28,10.3,0.22,0.-6,0.3,0.-1,6.43,10.33,92541.66,758.94,0.0,0.0,0.0
8268,2,8268,0.-10,10.1,0.55,0.-5,0.-2,0.-1,6.50,10.33,92530.78,759.4,0.0,0.0,0.0
8314,2,8314,0.4,9.93,0.58,0.-3,0.-16,0.-2,6.43,10.33,92530.78,759.24,0.0,0.0,0.0
8360,2,8360,0.0,10.1,0.48,0.-2,0.-7,0.-3,6.43,10.33,92532.96,758.46,0.0,0.0,0.0
8408,2,8408,0.36,10.0,0.34,0.-1,0.4,0.-6,6.43,10.34,92537.34,758.56,0.0,0.0,0.0
8454,2,8454,0.9,10.6,0.45,0.-1,0.-1,0.-9,6.50,10.33,92535.15,758.65,0.0,0.0,0.0
8500,2,8500,0.-2,9.96,0.49,0.0,0.-12,0.-10,6.43,10.33,92538.40,758.95,0.0,0.0,0.0
8546,2,8546,0.-32,10.1,0.62,0.0,0.-11,0.-10,6.43,10.33,92533.98,758.85,0.0,0.0,0.0
8592,2,8592,0.-26,10.4,0.45,0.1,0.-9,0.-9,6.43,10.33,92528.59,758.46,0.0,0.0,0.0
8638,2,8638,0.-30,9.97,0.62,0.1,0.-9,0.-8,6.50,10.34,92536.22,759.54,0.0,0.0,0.0
8684,2,8684,0.-27,10.13,0.55,0.2,0.13,0.-7,6.50,10.33,92540.59,759.24,0.0,0.0,0.0
8727,2,8727,0.-23,9.99,0.50,0.2,0.14,0.-7,6.50,10.33,92534.3,759.4,0.0,0.0,0.0
8773,2,8773,0.-39,9.94,0.40,0.3,0.-13,0.-6,6.50,10.33,92532.96,758.56,0.0,0.0,0.0
8819,2,8819,0.-28,9.98,0.66,0.3,0.-13,0.-4,6.50,10.33,92532.92,758.65,0.0,0.0,0.0
8865,2,8865,0.-2,9.99,0.59,0.5,0.-4,0.-4,6.37,10.33,92531.85,759.53,0.0,0.0,0.0
8911,2,8911,0.3,10.5,0.54,0.5,0.-8,0.-5,6.43,10.33,92532.92,759.54,0.0,0.0,0.0
8957,2,8957,0.-3,9.98,0.54,0.6,0.-5,0.-5,6.43,10.34,92531.85,758.85,0.0,0.0,0.0
9000,2,9000,0.-10,9.99,0.60,0.7,0.-9,0.-6,6.50,10.33,92531.85,759.14,0.0,0.0,0.0
9046,2,9046,0.-3,10.4,0.41,0.8,0.-7,0.-6,6.43,10.33,92532.92,759.34,0.0,0.0,0.0
9093,2,9093,0.6,10.5,0.19,0.7,0.-8,0.-7,6.50,10.33,92537.34,759.24,0.0,0.0,0.0
9139,2,9139,0.-6,10.3,0.28,0.5,0.-8,0.-7,6.50,10.33,92536.17,758.85,0.0,0.0,0.0
9185,2,9185,0.22,9.99,0.34,0.5,0.-9,0.-8,6.50,10.34,92534.3,758.94,0.0,0.0,0.0
9231,2,9231,0.9,9.95,0.38,0.5,0.-10,0.-9,6.50,10.33,92531.85,759.4,0.0,0.0,0.0
9279,2,9279,0.-4,10.4,0.32,0.5,0.-8,0.-9,6.50,10.33,92534.3,759.24,0.0,0.0,0.0
9325,2,9325,0.-18,10.1,0.35,0.4,0.-12,0.-10,6.50,10.34,92537.34,759.24,0.0,0.0,0.0
9371,2,9371,0.-11,10.4,0.57,0.5,0.-9,0.-9,6.50,10.34,92536.22,758.46,0.0,0.0,0.0
9417,2,9417,0.-18,10.4,0.39,0.5,0.-8,0.-8,6.56,10.33,92528.64,758.95,0.0,0.0,0.0
9463,2,9463,0.8,10.7,0.45,0.6,0.-9,0.-9,6.56,10.33,92535.10,758.75,0.0,0.0,0.0
9509,2,9509,0.4,10.2,0.43,0.6,0.-11,0.-10,6.43,10.33,92532.92,759.34,0.0,0.0,0.0
9555,2,9555,0.1,10.9,0.23,0.6,0.-5,0.-10,6.50,10.33,92536.76,759.19,0.0,0.0,0.0
9787,2,9787,0.-19,10.14,0.11,0.3,0.-8,0.-8,6.50,10.25,92538.85,759.10,0.0,0.0,0.0
9833,2,9833,0.-19,10.2,0.19,0.2,0.-9,0.-8,6.50,10.27,92534.38,758.73,0.0,0.0,0.0
9879,2,9879,0.-46,9.93,0.34,0.1,0.-9,0.-7,6.43,10.29,92535.35,758.93,0.0,0.0,0.0
9925,2,9925,0.16,10.2,0.55,0.2,0.-4,0.-8,6.56,10.30,92540.74,758.84,0.0,0.0,0.0
9971,2,9971,0.-19,10.3,0.42,0.3,0.-15,0.-9,6.50,10.32,92541.76,758.74,0.0,0.0,0.0
10017,2,10017,0.3,10.9,0.50,0.3,0.-15,0.-9,6.56,10.31,92540.25,758.78,0.0,0.0,0.0
11474,2,11474,0.-33,10.10,0.22,0.3,0.-14,0.-9,6.50,10.18,92533.75,758.69,0.0,0.0,0.0
11520,2,11520,0.-31,9.94,0.22,0.3,0.-16,0.-8,6.50,10.21,92544.43,758.60,0.0,0.0,0.0
11566,2,11566,0.-34,10.4,0.44,0.3,0.-9,0.-8,6.56,10.25,92536.61,759.1,0.0,0.0,0.0
